customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,risk_category
1453-RZFON,1,49.9,49.9,Month-to-month,Mailed check,DSL,Medium Risk
8064-RAVOH,1,49.85,49.85,Month-to-month,Electronic check,DSL,High Risk
7442-YGZFK,1,49.8,49.8,Month-to-month,Credit card (automatic),DSL,Medium Risk
8757-TFHHJ,1,49.8,49.8,Month-to-month,Credit card (automatic),DSL,Medium Risk
7312-XSBAT,1,49.75,49.75,Month-to-month,Electronic check,DSL,High Risk
8885-QSQBX,1,49.55,49.55,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
4065-JJAVA,1,49.5,49.5,Month-to-month,Electronic check,DSL,High Risk
3716-UVSPD,1,49.3,49.3,Month-to-month,Electronic check,DSL,High Risk
2273-QCKXA,1,49.05,49.05,Month-to-month,Mailed check,DSL,Medium Risk
2607-FBDFF,1,49.0,49.0,Month-to-month,Credit card (automatic),DSL,Medium Risk
5207-PLSTK,1,48.75,48.75,Month-to-month,Mailed check,DSL,Medium Risk
9752-ZNQUT,1,48.6,48.6,Month-to-month,Electronic check,DSL,High Risk
0623-GDISB,1,48.45,48.45,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
8286-AFUYI,1,47.95,47.95,Month-to-month,Electronic check,DSL,High Risk
6185-TASNN,1,46.3,46.3,Month-to-month,Electronic check,DSL,High Risk
6127-IYJOZ,1,45.85,45.85,Month-to-month,Mailed check,DSL,Medium Risk
5133-POWUA,1,45.8,45.8,Month-to-month,Mailed check,DSL,Medium Risk
9244-ZVAPM,1,45.6,45.6,Month-to-month,Mailed check,DSL,Medium Risk
3566-HJGPK,1,45.55,45.55,Month-to-month,Mailed check,DSL,Medium Risk
2275-RBYQS,1,45.4,45.4,Month-to-month,Mailed check,DSL,Medium Risk
7754-IXRMC,1,45.35,45.35,Month-to-month,Mailed check,DSL,Medium Risk
6582-OIVSP,1,45.3,45.3,Month-to-month,Mailed check,DSL,Medium Risk
3413-BMNZE,1,45.25,45.25,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
4706-DGAHW,1,45.2,45.2,Month-to-month,Electronic check,DSL,High Risk
7252-NTGSS,1,45.15,45.15,Month-to-month,Mailed check,DSL,Medium Risk
8356-WUAOJ,1,45.0,45.0,Month-to-month,Electronic check,DSL,High Risk
8950-MTZNV,1,44.95,44.95,Month-to-month,Mailed check,DSL,Medium Risk
8710-YGLWG,1,44.9,44.9,Month-to-month,Mailed check,DSL,Medium Risk
8705-WZCYL,1,44.8,44.8,Month-to-month,Electronic check,DSL,High Risk
4373-VVHQL,1,44.75,44.75,Month-to-month,Electronic check,DSL,High Risk
2672-OJQZP,1,44.75,44.75,Month-to-month,Mailed check,DSL,Medium Risk
4146-SVFUD,1,44.6,44.6,Month-to-month,Mailed check,DSL,Medium Risk
8180-AKMJV,1,44.55,44.55,Month-to-month,Credit card (automatic),DSL,Medium Risk
2903-YYTBW,1,44.55,44.55,Month-to-month,Electronic check,DSL,High Risk
5858-EAFCZ,1,44.45,44.45,Month-to-month,Mailed check,DSL,Medium Risk
0082-LDZUE,1,44.3,44.3,Month-to-month,Mailed check,DSL,Medium Risk
6145-NNPNO,1,44.15,44.15,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
3961-SXAXY,1,44.05,44.05,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
5522-JBWMO,1,44.0,44.0,Month-to-month,Electronic check,DSL,High Risk
1942-OQFRW,1,44.0,44.0,Month-to-month,Electronic check,DSL,High Risk
8720-RQSBJ,1,44.0,44.0,Month-to-month,Electronic check,DSL,High Risk
9214-EKVXR,1,44.0,44.0,Month-to-month,Mailed check,DSL,Medium Risk
1895-QTKDO,1,43.95,43.95,Month-to-month,Credit card (automatic),DSL,Medium Risk
6650-VJONK,1,43.85,43.85,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
1478-VPOAD,1,43.8,43.8,Month-to-month,Electronic check,DSL,High Risk
2049-BAFNW,1,35.9,35.9,Month-to-month,Mailed check,DSL,Medium Risk
3841-CONLJ,1,35.0,35.0,Month-to-month,Electronic check,DSL,High Risk
6917-IAYHD,1,33.6,33.6,Month-to-month,Mailed check,DSL,Medium Risk
6656-JWRQX,1,30.55,30.55,Month-to-month,Mailed check,DSL,Medium Risk
5999-LCXAO,1,29.9,29.9,Month-to-month,Mailed check,DSL,Medium Risk
7590-VHVEG,1,29.85,29.85,Month-to-month,Electronic check,DSL,High Risk
1816-FLZDK,1,29.15,29.15,Month-to-month,Mailed check,DSL,Medium Risk
3069-SSVSN,1,25.85,25.85,One year,Mailed check,DSL,Low Risk
2692-PFYTJ,1,25.75,25.75,Month-to-month,Mailed check,No,Medium Risk
2712-SYWAY,1,25.7,25.7,Month-to-month,Electronic check,No,High Risk
2080-SRCDE,1,25.4,25.4,Month-to-month,Mailed check,No,Medium Risk
6158-HDPXZ,1,25.35,25.35,Month-to-month,Mailed check,DSL,Medium Risk
4195-NZGTA,1,25.25,25.25,Month-to-month,Electronic check,DSL,High Risk
2209-XADXF,1,25.25,25.25,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
7537-RBWEA,1,25.15,25.15,Month-to-month,Mailed check,DSL,Medium Risk
8896-BQTTI,1,25.0,25.0,Month-to-month,Mailed check,No,Medium Risk
4367-NHWMM,1,24.9,24.9,Month-to-month,Mailed check,DSL,Medium Risk
2538-OIMXF,1,24.7,24.7,Month-to-month,Mailed check,DSL,Medium Risk
2862-PFNIK,1,24.7,24.7,Month-to-month,Electronic check,DSL,High Risk
7365-BVCJH,1,24.4,24.4,Month-to-month,Electronic check,DSL,High Risk
9895-VFOXH,1,24.4,24.4,Month-to-month,Mailed check,DSL,Medium Risk
3439-GVUSX,1,24.4,24.4,Month-to-month,Mailed check,DSL,Medium Risk
5351-QESIO,1,24.2,24.2,Month-to-month,Mailed check,DSL,Medium Risk
5701-SVCWR,1,24.0,24.0,Month-to-month,Mailed check,No,Medium Risk
2111-DWYHN,1,21.1,21.1,Month-to-month,Mailed check,No,Medium Risk
8267-KFGYD,1,21.05,21.05,Month-to-month,Mailed check,No,Medium Risk
6728-WYQBC,1,20.95,20.95,Month-to-month,Bank transfer (automatic),No,Medium Risk
7243-LCGGZ,1,20.9,20.9,Month-to-month,Mailed check,No,Medium Risk
4013-GUXND,1,20.8,20.8,Month-to-month,Mailed check,No,Medium Risk
3645-DEYGF,1,20.75,20.75,Month-to-month,Mailed check,No,Medium Risk
2700-LUEVA,1,20.75,20.75,Month-to-month,Credit card (automatic),No,Medium Risk
8620-RJPZN,1,20.7,20.7,Month-to-month,Electronic check,No,High Risk
5088-QZLRL,1,20.65,20.65,Month-to-month,Electronic check,No,High Risk
2480-JZOSN,1,20.65,20.65,Month-to-month,Mailed check,No,Medium Risk
3976-NLDEZ,1,20.6,20.6,Month-to-month,Mailed check,No,Medium Risk
9708-KFDBY,1,20.55,20.55,Month-to-month,Credit card (automatic),No,Medium Risk
9753-OYLBX,1,20.5,20.5,Month-to-month,Mailed check,No,Medium Risk
8262-COGGB,1,20.45,20.45,Month-to-month,Mailed check,No,Medium Risk
0673-IGUQO,1,20.45,20.45,Month-to-month,Mailed check,No,Medium Risk
5996-DAOQL,1,20.45,20.45,Month-to-month,Mailed check,No,Medium Risk
8559-WNQZS,1,20.45,20.45,Two year,Mailed check,No,Low Risk
2668-TZSPS,1,20.45,20.45,Month-to-month,Mailed check,No,Medium Risk
6579-JPICP,1,20.4,20.4,Month-to-month,Mailed check,No,Medium Risk
3727-JEZTU,1,20.4,20.4,Month-to-month,Mailed check,No,Medium Risk
2239-CFOUJ,1,20.4,20.4,One year,Mailed check,No,Low Risk
2592-YKDIF,1,20.35,20.35,Month-to-month,Mailed check,No,Medium Risk
4634-JLRJT,1,20.35,20.35,Month-to-month,Mailed check,No,Medium Risk
3590-TCXTB,1,20.35,20.35,Month-to-month,Mailed check,No,Medium Risk
1099-GODLO,1,20.35,20.35,Two year,Mailed check,No,Low Risk
9122-UMROB,1,20.3,20.3,Month-to-month,Mailed check,No,Medium Risk
3090-QFUVD,1,20.3,20.3,Month-to-month,Credit card (automatic),No,Medium Risk
2676-ISHSF,1,20.3,20.3,Month-to-month,Mailed check,No,Medium Risk
7814-LEEVE,1,20.3,20.3,Month-to-month,Bank transfer (automatic),No,Medium Risk
8203-XJZRC,1,20.25,20.25,Month-to-month,Mailed check,No,Medium Risk
0670-KDOMA,1,20.25,20.25,Month-to-month,Mailed check,No,Medium Risk
5868-YTYKS,1,20.25,20.25,Month-to-month,Mailed check,No,Medium Risk
2081-KJSQF,1,20.25,20.25,Month-to-month,Mailed check,No,Medium Risk
7310-EGVHZ,1,20.2,20.2,Month-to-month,Bank transfer (automatic),No,Medium Risk
6380-ARCEH,1,20.2,20.2,Month-to-month,Mailed check,No,Medium Risk
3247-MHJKM,1,20.2,20.2,Month-to-month,Mailed check,No,Medium Risk
8048-DSDFQ,1,20.2,20.2,Month-to-month,Mailed check,No,Medium Risk
6469-MRVET,1,20.2,20.2,One year,Electronic check,No,Low Risk
8974-OVACP,1,20.15,20.15,Month-to-month,Mailed check,No,Medium Risk
4781-ZXYGU,1,20.15,20.15,Month-to-month,Bank transfer (automatic),No,Medium Risk
3030-ZKIWL,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
4661-NJEUX,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
2812-SFXMJ,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
7096-UCLNH,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
8749-CLJXC,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
9962-BFPDU,1,20.05,20.05,Month-to-month,Mailed check,No,Medium Risk
7698-YFGEZ,1,20.0,20.0,Month-to-month,Mailed check,No,Medium Risk
3807-XHCJH,1,20.0,20.0,Month-to-month,Electronic check,No,High Risk
2542-HYGIQ,1,19.95,19.95,Month-to-month,Credit card (automatic),No,Medium Risk
6286-SUUWT,1,19.95,19.95,Month-to-month,Mailed check,No,Medium Risk
2654-VBVPB,1,19.9,19.9,Month-to-month,Bank transfer (automatic),No,Medium Risk
6654-QGBZZ,1,19.9,19.9,Month-to-month,Mailed check,No,Medium Risk
7878-RTCZG,1,19.9,19.9,Month-to-month,Mailed check,No,Medium Risk
2369-FEVNO,1,19.9,19.9,Month-to-month,Mailed check,No,Medium Risk
1135-LMECX,1,19.85,19.85,Month-to-month,Mailed check,No,Medium Risk
4291-HPAXL,1,19.85,19.85,Month-to-month,Mailed check,No,Medium Risk
1064-FBXNK,1,19.85,19.85,One year,Credit card (automatic),No,Low Risk
8562-GHPPI,1,19.8,19.8,Month-to-month,Credit card (automatic),No,Medium Risk
3930-ZGWVE,1,19.75,19.75,Month-to-month,Mailed check,No,Medium Risk
3717-OFRTN,1,19.75,19.75,Month-to-month,Bank transfer (automatic),No,Medium Risk
2465-BLLEU,1,19.75,19.75,Month-to-month,Mailed check,No,Medium Risk
6124-ACRHJ,1,19.75,19.75,Month-to-month,Mailed check,No,Medium Risk
7853-WNZSY,1,19.75,19.75,Month-to-month,Credit card (automatic),No,Medium Risk
1156-ZFYDO,1,19.75,19.75,Month-to-month,Electronic check,No,High Risk
9103-CXVOK,1,19.75,19.75,Month-to-month,Electronic check,No,High Risk
0247-SLUJI,1,19.7,19.7,Month-to-month,Mailed check,No,Medium Risk
1194-SPVSP,1,19.65,19.65,Month-to-month,Bank transfer (automatic),No,Medium Risk
7291-CDTMJ,1,19.65,19.65,Month-to-month,Bank transfer (automatic),No,Medium Risk
7721-DVEKZ,1,19.65,19.65,Month-to-month,Mailed check,No,Medium Risk
3785-NRHYR,1,19.65,19.65,Month-to-month,Mailed check,No,Medium Risk
0970-QXPXW,1,19.65,19.65,Month-to-month,Mailed check,No,Medium Risk
5562-BETPV,1,19.65,19.65,One year,Mailed check,No,Low Risk
2866-IKBTM,1,19.55,19.55,Month-to-month,Mailed check,No,Medium Risk
8605-ITULD,1,19.55,19.55,Month-to-month,Mailed check,No,Medium Risk
2576-HXMPA,1,19.55,19.55,Month-to-month,Credit card (automatic),No,Medium Risk
1622-HSHSF,1,19.55,19.55,Month-to-month,Mailed check,No,Medium Risk
0927-CNGRH,1,19.55,19.55,Month-to-month,Mailed check,No,Medium Risk
7601-WFVZV,1,19.55,19.55,Month-to-month,Mailed check,No,Medium Risk
5906-BFOZT,1,19.5,19.5,Month-to-month,Mailed check,No,Medium Risk
8566-YPRGL,1,19.5,19.5,Month-to-month,Mailed check,No,Medium Risk
1905-OEILC,1,19.5,19.5,Month-to-month,Mailed check,No,Medium Risk
7617-EYGLW,1,19.45,19.45,Month-to-month,Electronic check,No,High Risk
8393-JMVMB,1,19.45,19.45,Month-to-month,Mailed check,No,Medium Risk
3679-XASPY,1,19.45,19.45,Month-to-month,Electronic check,No,High Risk
7298-IZWLY,1,19.4,19.4,Month-to-month,Mailed check,No,Medium Risk
2220-IAHLS,1,19.4,19.4,Month-to-month,Credit card (automatic),No,Medium Risk
9629-NHXFW,1,19.4,19.4,Month-to-month,Mailed check,No,Medium Risk
7926-IJOOU,1,19.3,19.3,Month-to-month,Credit card (automatic),No,Medium Risk
1724-IQWNM,1,19.3,19.3,Month-to-month,Mailed check,No,Medium Risk
1098-TDVUQ,1,19.25,19.25,Month-to-month,Bank transfer (automatic),No,Medium Risk
9374-YOLBJ,1,19.25,19.25,Month-to-month,Electronic check,No,High Risk
1663-MHLHE,1,19.2,19.2,Month-to-month,Mailed check,No,Medium Risk
3308-MHOOC,1,19.2,19.2,Month-to-month,Mailed check,No,Medium Risk
4232-JGKIY,1,19.2,19.2,Month-to-month,Electronic check,No,High Risk
3373-YZZYM,1,19.2,19.2,Month-to-month,Mailed check,No,Medium Risk
7302-ZHMHP,1,19.15,19.15,Month-to-month,Mailed check,No,Medium Risk
6569-KTMDU,1,19.1,19.1,Month-to-month,Mailed check,No,Medium Risk
9441-QHEVC,1,19.1,19.1,Month-to-month,Mailed check,No,Medium Risk
1015-OWJKI,1,19.05,19.05,Month-to-month,Mailed check,No,Medium Risk
1423-BMPBQ,1,19.0,19.0,Month-to-month,Mailed check,No,Medium Risk
9975-SKRNR,1,18.9,18.9,Month-to-month,Mailed check,No,Medium Risk
8992-CEUEN,1,18.85,18.85,Month-to-month,Electronic check,No,High Risk
2967-MXRAV,1,18.8,18.8,One year,Mailed check,No,Low Risk
7379-FNIUJ,2,100.2,198.5,Month-to-month,Electronic check,Fiber optic,High Risk
6645-MXQJT,2,97.1,184.15,Month-to-month,Electronic check,Fiber optic,High Risk
4929-XIHVW,2,95.5,181.65,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
4927-WWOOZ,2,91.45,171.45,Month-to-month,Electronic check,Fiber optic,High Risk
5091-HFAZW,2,91.15,168.5,Month-to-month,Electronic check,Fiber optic,High Risk
4137-BTIKL,2,90.75,174.75,Month-to-month,Mailed check,Fiber optic,Medium Risk
0139-IVFJG,2,90.35,190.5,Month-to-month,Electronic check,Fiber optic,High Risk
2545-EBUPK,2,84.05,186.05,Month-to-month,Electronic check,Fiber optic,High Risk
3489-HHPFY,2,84.05,134.05,Month-to-month,Electronic check,Fiber optic,High Risk
6407-UTSLV,2,83.8,163.7,Month-to-month,Bank transfer (automatic),Fiber optic,Medium Risk
9050-IKDZA,2,81.5,162.55,Month-to-month,Mailed check,Fiber optic,Medium Risk
3130-ICDUP,2,80.55,188.1,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
6923-JHPMP,2,80.45,137.1,Month-to-month,Electronic check,Fiber optic,High Risk
4741-WWJQZ,2,80.15,194.55,Month-to-month,Electronic check,Fiber optic,High Risk
4234-XTNEA,2,79.95,174.45,Month-to-month,Electronic check,Fiber optic,High Risk
3420-YJLQT,2,79.55,151.75,Month-to-month,Electronic check,Fiber optic,High Risk
3422-GALYP,2,79.45,145.15,Month-to-month,Electronic check,Fiber optic,High Risk
2080-GKCWQ,2,74.95,151.75,Month-to-month,Electronic check,Fiber optic,High Risk
6856-RAURS,2,74.9,136.05,Month-to-month,Mailed check,Fiber optic,Medium Risk
4770-UEZOX,2,74.75,144.8,Month-to-month,Electronic check,Fiber optic,High Risk
2880-FPNAE,2,74.2,140.1,Month-to-month,Electronic check,Fiber optic,High Risk
3295-YVUSR,2,72.6,154.3,Month-to-month,Mailed check,Fiber optic,Medium Risk
0508-OOLTO,2,71.65,135.75,Month-to-month,Electronic check,Fiber optic,High Risk
4450-DLLMH,2,71.3,157.75,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
3717-OEAUQ,2,70.7,129.2,Month-to-month,Mailed check,Fiber optic,Medium Risk
2905-KFQUV,2,70.4,154.8,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
5442-BHQNG,2,70.35,139.25,Month-to-month,Electronic check,Fiber optic,High Risk
7321-VGNKU,2,70.35,120.25,Month-to-month,Electronic check,Fiber optic,High Risk
3234-VKACU,2,70.3,132.4,Month-to-month,Electronic check,DSL,High Risk
9717-QEBGU,2,70.3,144.0,Month-to-month,Electronic check,Fiber optic,High Risk
7394-LWLYN,2,70.15,123.8,Month-to-month,Electronic check,Fiber optic,High Risk
5119-NZPTV,2,70.1,141.65,Month-to-month,Electronic check,Fiber optic,High Risk
5600-KTXFM,2,69.95,143.9,Month-to-month,Mailed check,Fiber optic,Medium Risk
2897-DOVND,2,69.8,146.65,Month-to-month,Electronic check,Fiber optic,High Risk
4482-EWFMI,2,69.7,135.2,Month-to-month,Electronic check,Fiber optic,High Risk
9799-CAYJJ,2,69.3,153.8,Month-to-month,Electronic check,Fiber optic,High Risk
5916-QEWPT,2,69.0,147.8,Month-to-month,Credit card (automatic),DSL,Medium Risk
5173-WXOQV,2,64.2,143.65,Month-to-month,Mailed check,DSL,Medium Risk
0541-FITGH,2,62.15,113.1,Month-to-month,Mailed check,DSL,Medium Risk
1791-PQHBB,2,61.2,125.95,Month-to-month,Credit card (automatic),DSL,Medium Risk
3090-LETTY,2,60.95,134.6,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
3995-WFCSM,2,60.85,111.4,Month-to-month,Electronic check,DSL,High Risk
4854-SSLTN,2,59.5,130.5,Two year,Mailed check,DSL,Low Risk
6778-YSNIH,2,59.0,114.15,Month-to-month,Electronic check,DSL,High Risk
6048-QBXKL,2,56.55,118.25,Month-to-month,Credit card (automatic),DSL,Medium Risk
8903-XEBGX,2,55.3,108.65,Month-to-month,Electronic check,DSL,High Risk
3620-MWJNE,2,54.45,87.3,Month-to-month,Mailed check,DSL,Medium Risk
9667-TKTVZ,2,54.35,117.05,Month-to-month,Mailed check,DSL,Medium Risk
8654-DHAOW,2,54.15,101.65,Month-to-month,Mailed check,DSL,Medium Risk
2181-UAESM,2,53.45,119.5,Month-to-month,Electronic check,DSL,High Risk
7501-VTYLJ,2,51.55,106.2,Month-to-month,Mailed check,DSL,Medium Risk
2969-QWUBZ,2,51.4,96.8,Month-to-month,Electronic check,DSL,High Risk
6629-LADHQ,2,50.95,123.05,Month-to-month,Mailed check,DSL,Medium Risk
9992-UJOEL,2,50.3,92.75,Month-to-month,Mailed check,DSL,Medium Risk
6844-DZKRF,2,50.2,109.25,Month-to-month,Credit card (automatic),DSL,Medium Risk
4223-WOZCM,2,49.95,107.1,Month-to-month,Mailed check,DSL,Medium Risk
5948-UJZLF,2,49.25,97.0,Month-to-month,Mailed check,DSL,Medium Risk
8805-JNRAZ,2,49.2,103.7,Month-to-month,Mailed check,DSL,Medium Risk
5968-VXZLG,2,46.6,87.9,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
5365-LLFYV,2,45.85,105.6,Month-to-month,Mailed check,DSL,Medium Risk
4537-DKTAL,2,45.55,84.4,Month-to-month,Electronic check,DSL,High Risk
6519-CFDBX,2,45.4,80.95,Month-to-month,Electronic check,DSL,High Risk
3278-FSIXX,2,45.25,74.2,Month-to-month,Mailed check,DSL,Medium Risk
9588-OZDMQ,2,45.0,89.75,Month-to-month,Electronic check,DSL,High Risk
6817-WTYHE,2,44.9,111.05,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
7729-JTEEC,2,44.5,90.05,Month-to-month,Electronic check,DSL,High Risk
1728-BQDMA,2,44.45,82.7,Month-to-month,Electronic check,DSL,High Risk
0224-RLWWD,2,44.3,89.3,Month-to-month,Electronic check,DSL,High Risk
3798-EPWRR,2,43.95,85.1,Month-to-month,Electronic check,DSL,High Risk
7389-KBFIT,2,30.25,63.75,Month-to-month,Mailed check,DSL,Medium Risk
6022-KOUQO,2,29.05,44.75,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
9638-JIQYA,2,24.9,49.7,Month-to-month,Credit card (automatic),DSL,Medium Risk
8713-IGZSO,2,24.85,62.0,Month-to-month,Mailed check,No,Medium Risk
4236-UJPWO,2,24.5,46.4,Month-to-month,Electronic check,DSL,High Risk
1777-JYQPJ,2,24.3,38.45,Month-to-month,Mailed check,DSL,Medium Risk
0816-TSPHQ,2,20.75,44.2,Month-to-month,Mailed check,No,Medium Risk
3007-FDPEA,2,20.7,39.85,Month-to-month,Bank transfer (automatic),No,Medium Risk
6942-LBFDP,2,20.55,33.6,Month-to-month,Mailed check,No,Medium Risk
5857-XRECV,2,20.5,38.25,One year,Bank transfer (automatic),No,Low Risk
3594-IVHJZ,2,20.45,42.45,Month-to-month,Mailed check,No,Medium Risk
6870-ECSHE,2,20.45,34.8,One year,Mailed check,No,Low Risk
2410-CIYFZ,2,20.4,42.9,Month-to-month,Mailed check,No,Medium Risk
